year,global_avg_temp,city_avg_temp,global_7_MA_temp,city_7_MA_temp,,,,,,
1839,7.63,25.79,7.63,25.79,,,,,,
1840,7.8,25.89,7.72,25.84,,,,,,
1841,7.69,25.98,7.71,25.89,,,,,,
1842,8.02,26.14,7.79,25.95,,,,,,
1843,8.17,26.22,7.86,26.00,,,,,,
1844,7.65,25.73,7.83,25.96,,,,,,
1845,7.85,25.62,7.83,25.91,,,,,,
1846,8.55,26.45,7.96,26.00,,,,,,
1847,8.09,25.88,8.00,26.00,,,,,,
1848,7.98,25.88,8.04,25.99,,,,,,
1849,7.98,25.88,8.04,25.95,,,,,,
1850,7.9,26.01,8.00,25.92,,,,,,
1851,8.18,26.09,8.08,25.97,,,,,,
1852,8.1,25.97,8.11,26.02,,,,,,
1853,8.04,26.18,8.04,25.98,,,,,,
1854,8.21,25.95,8.06,25.99,,,,,,
1855,8.11,26.08,8.07,26.02,,,,,,
1856,8,26.17,8.08,26.06,,,,,,
1857,7.76,26.17,8.06,26.09,,,,,,
1858,8.1,26.15,8.05,26.10,,,,,,
1859,8.25,26.24,8.07,26.13,,,,,,
1860,7.96,25.93,8.06,26.10,,,,,,
1861,7.85,25.89,8.00,26.09,,,,,,
1862,7.56,25.89,7.93,26.06,,,,,,
1863,8.11,26.09,7.94,26.05,,,,,,
1864,7.98,25.92,7.97,26.02,,,,,,
1865,8.18,26.15,7.98,26.02,,,,,,
1866,8.29,26.12,7.99,26.00,,,,,,
1867,8.44,26.04,8.06,26.01,,,,,,
1868,8.25,26.15,8.12,26.05,,,,,,
1869,8.43,25.98,8.24,26.06,,,,,,
1870,8.2,25.57,8.25,25.99,,,,,,
1871,8.12,25.58,8.27,25.94,,,,,,
1872,8.19,26.17,8.27,25.94,,,,,,
1873,8.35,26.4,8.28,25.98,,,,,,
1874,8.43,26.09,8.28,25.99,,,,,,
1875,7.86,25.47,8.23,25.89,,,,,,
1876,8.08,25.72,8.18,25.86,,,,,,
1877,8.54,26.25,8.22,25.95,,,,,,
1878,8.83,26.57,8.33,26.10,,,,,,
1879,8.17,25.75,8.32,26.04,,,,,,
1880,8.12,26.12,8.29,26.00,,,,,,
1881,8.27,26.55,8.27,26.06,,,,,,
1882,8.13,26.1,8.31,26.15,,,,,,
1883,7.98,26,8.29,26.19,,,,,,
1884,7.77,25.86,8.18,26.14,,,,,,
1885,7.92,26.22,8.05,26.09,,,,,,
