,id,retweet_count,favorite_count
0,892420643555336193,8381,38256
1,892177421306343426,6188,32799
2,891815181378084864,4093,24697
3,891689557279858688,8514,41587
4,891327558926688256,9231,39766
5,891087950875897856,3067,19957
6,890971913173991426,2038,11679
7,890729181411237888,18612,64577
8,890609185150312448,4213,27431
9,890240255349198849,7279,31482
10,890006608113172480,7229,30253
11,889880896479866881,4903,27412
12,889665388333682689,9917,47481
13,889638837579907072,4480,26805
14,889531135344209921,2209,14902
15,889278841981685760,5305,24916
16,888917238123831296,4431,28694
17,888804989199671297,4238,25229
18,888554962724278272,3500,19581
19,888078434458587136,3447,21475
20,887705289381826560,5316,29762
21,887517139158093824,11502,45655
22,887473957103951883,17932,68176
23,887343217045368832,10258,33227
24,887101392804085760,5883,30160
25,886983233522544640,7668,34693
26,886736880519319552,3238,11886
27,886680336477933568,4401,22139
28,886366144734445568,3155,20896
29,886267009285017600,4,116
30,886258384151887873,6192,27622
31,886054160059072513,105,0
32,885984800019947520,6706,32244
33,885528943205470208,6338,35510
34,885518971528720385,3708,20156
35,885311592912609280,18333,0
36,885167619883638784,4323,21640
37,884925521741709313,18063,76488
38,884876753390489601,5587,27554
39,884562892145688576,4687,23992
40,884441805382717440,5578,26648
41,884247878851493888,20193,72105
42,884162670584377345,2946,20092
43,883838122936631299,3404,21626
44,883482846933004288,9826,45343
45,883360690899218434,3631,22282
46,883117836046086144,6587,36717
47,882992080364220416,3869,23661
48,882762694511734784,4855,27950
49,882627270321602560,6006,27565
50,882268110199369728,11451,44379
51,882045870035918850,4908,28982
52,881906580714921986,3351,24008
53,881666595344535552,10535,49944
54,881633300179243008,7,124
55,881536004380872706,15752,48824
56,881268444196462592,5106,22794
57,880935762899988482,2750,16801
58,880872448815771648,3770,21009
59,880465832366813184,6204,28178
60,880221127280381952,4168,26731
61,880095782870896641,4307,27294
62,879862464715927552,3456,22050
63,879674319642796034,10,310
64,879492040517615616,3147,23127
65,879415818425184262,43668,104588
66,879376492567855104,3087,16570
67,879130579576475649,6752,0
68,879050749262655488,4671,22293
69,879008229531029506,2666,18751
70,878776093423087618,4082,19184
71,878604707211726852,7126,29911
72,878404777348136964,1275,0
73,878316110768087041,6587,0
74,878281511006478336,1275,7650
75,878057613040115712,6752,41538
76,877736472329191424,18886,78796
77,877611172832227328,80,0
78,877556246731214848,3772,22448
79,877316821321428993,5124,27044
80,877201837425926144,5528,26801
81,876838120628539392,3312,20428
82,876537666061221889,4582,23221
83,876484053909872640,2378,18547
84,876120275196170240,4655,27595
85,875747767867523072,4256,24904
86,875144289856114688,4889,21675
87,875097192612077568,5998,27113
88,875021211251597312,4680,25188
89,874680097055178752,4610,27530
90,874434818259525634,14646,0
91,874296783580663808,4083,25781
92,874057562936811520,3932,22417
93,874012996292530176,10359,34252
94,873580283840344065,3924,23979
95,873337748698140672,1581,0
96,873213775632977920,1581,7168
97,872967104147763200,5385,27122
98,872820683541237760,3682,14577
99,872620804844003328,3687,20601
100,872486979161796608,8978,40333
101,872261713294495745,6302,33926
102,872122724285648897,8105,34182
103,871879754684805121,11169,37711
